0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221
0.0,0.0,3.0,3.0,5.0,192.0,429.0,469.0,538.0,628.0,675.0,711.0,635.0,679.0,522.0,477.0,469.0,450.0,395.0,439.0,408.0,412.0,393.0,393.0,385.0,361.0,376.0,404.0,377.0,412.0,385.0,352.0,364.0,395.0,514.0,465.0,443.0,422.0,402.0,422.0,411.0,467.0,410.0,496.0,534.0,613.0,477.0,561.0,583.0,705.0,738.0,816.0,878.0,915.0,812.0,678.0,625.0,552.0,524.0,446.0,305.0,356.0,247.0,224.0,168.0,214.0,316.0,190.0,165.0,221.0,106.0,85.0,56.0,41.0,0.0,0.0,3.0,3.0,5.0,192.0,429.0,469.0,538.0,628.0,675.0,711.0,635.0,679.0,522.0,477.0,469.0,450.0,395.0,439.0,408.0,412.0,393.0,393.0,385.0,361.0,376.0,404.0,377.0,412.0,385.0,352.0,364.0,395.0,514.0,465.0,443.0,422.0,402.0,422.0,411.0,467.0,410.0,496.0,534.0,613.0,477.0,561.0,583.0,705.0,738.0,816.0,878.0,915.0,812.0,678.0,625.0,552.0,524.0,446.0,305.0,356.0,247.0,224.0,168.0,214.0,316.0,190.0,165.0,221.0,106.0,85.0,56.0,41.0,0.0,0.0,3.0,3.0,5.0,192.0,429.0,469.0,538.0,628.0,675.0,711.0,635.0,679.0,522.0,477.0,469.0,450.0,395.0,439.0,408.0,412.0,393.0,393.0,385.0,361.0,376.0,404.0,377.0,412.0,385.0,352.0,364.0,395.0,514.0,465.0,443.0,422.0,402.0,422.0,411.0,467.0,410.0,496.0,534.0,613.0,477.0,561.0,583.0,705.0,738.0,816.0,878.0,915.0,812.0,678.0,625.0,552.0,524.0,446.0,305.0,356.0,247.0,224.0,168.0,214.0,316.0,190.0,165.0,221.0,106.0,85.0,56.0,41.0
0.0,1.0,3.0,2.0,5.0,80.0,71.0,119.0,153.0,236.0,230.0,279.0,273.0,265.0,199.0,223.0,186.0,207.0,169.0,163.0,203.0,183.0,199.0,176.0,158.0,188.0,166.0,152.0,141.0,153.0,174.0,159.0,181.0,182.0,186.0,203.0,196.0,192.0,148.0,147.0,192.0,206.0,200.0,212.0,233.0,256.0,241.0,278.0,251.0,331.0,381.0,470.0,474.0,511.0,488.0,460.0,368.0,388.0,307.0,238.0,235.0,191.0,193.0,152.0,156.0,138.0,120.0,124.0,140.0,122.0,90.0,97.0,35.0,17.0,0.0,1.0,3.0,2.0,5.0,80.0,71.0,119.0,153.0,236.0,230.0,279.0,273.0,265.0,199.0,223.0,186.0,207.0,169.0,163.0,203.0,183.0,199.0,176.0,158.0,188.0,166.0,152.0,141.0,153.0,174.0,159.0,181.0,182.0,186.0,203.0,196.0,192.0,148.0,147.0,192.0,206.0,200.0,212.0,233.0,256.0,241.0,278.0,251.0,331.0,381.0,470.0,474.0,511.0,488.0,460.0,368.0,388.0,307.0,238.0,235.0,191.0,193.0,152.0,156.0,138.0,120.0,124.0,140.0,122.0,90.0,97.0,35.0,17.0,0.0,1.0,3.0,2.0,5.0,80.0,71.0,119.0,153.0,236.0,230.0,279.0,273.0,265.0,199.0,223.0,186.0,207.0,169.0,163.0,203.0,183.0,199.0,176.0,158.0,188.0,166.0,152.0,141.0,153.0,174.0,159.0,181.0,182.0,186.0,203.0,196.0,192.0,148.0,147.0,192.0,206.0,200.0,212.0,233.0,256.0,241.0,278.0,251.0,331.0,381.0,470.0,474.0,511.0,488.0,460.0,368.0,388.0,307.0,238.0,235.0,191.0,193.0,152.0,156.0,138.0,120.0,124.0,140.0,122.0,90.0,97.0,35.0,17.0
0.0,0.0,2.0,2.0,3.0,53.0,72.0,146.0,199.0,213.0,229.0,229.0,221.0,172.0,143.0,133.0,143.0,116.0,111.0,125.0,133.0,130.0,133.0,112.0,111.0,114.0,137.0,119.0,143.0,99.0,111.0,130.0,103.0,144.0,116.0,101.0,132.0,153.0,155.0,162.0,169.0,142.0,155.0,153.0,165.0,165.0,168.0,195.0,201.0,221.0,299.0,311.0,408.0,420.0,335.0,351.0,267.0,254.0,192.0,199.0,171.0,143.0,118.0,171.0,120.0,102.0,145.0,113.0,99.0,100.0,89.0,43.0,34.0,21.0,0.0,0.0,2.0,2.0,3.0,53.0,72.0,146.0,199.0,213.0,229.0,229.0,221.0,172.0,143.0,133.0,143.0,116.0,111.0,125.0,133.0,130.0,133.0,112.0,111.0,114.0,137.0,119.0,143.0,99.0,111.0,130.0,103.0,144.0,116.0,101.0,132.0,153.0,155.0,162.0,169.0,142.0,155.0,153.0,165.0,165.0,168.0,195.0,201.0,221.0,299.0,311.0,408.0,420.0,335.0,351.0,267.0,254.0,192.0,199.0,171.0,143.0,118.0,171.0,120.0,102.0,145.0,113.0,99.0,100.0,89.0,43.0,34.0,21.0,0.0,0.0,2.0,2.0,3.0,53.0,72.0,146.0,199.0,213.0,229.0,229.0,221.0,172.0,143.0,133.0,143.0,116.0,111.0,125.0,133.0,130.0,133.0,112.0,111.0,114.0,137.0,119.0,143.0,99.0,111.0,130.0,103.0,144.0,116.0,101.0,132.0,153.0,155.0,162.0,169.0,142.0,155.0,153.0,165.0,165.0,168.0,195.0,201.0,221.0,299.0,311.0,408.0,420.0,335.0,351.0,267.0,254.0,192.0,199.0,171.0,143.0,118.0,171.0,120.0,102.0,145.0,113.0,99.0,100.0,89.0,43.0,34.0,21.0
0.0,1.0,1.0,8.0,20.0,88.0,77.0,72.0,112.0,145.0,133.0,144.0,132.0,106.0,91.0,72.0,84.0,53.0,56.0,48.0,48.0,56.0,70.0,94.0,57.0,55.0,49.0,49.0,53.0,30.0,74.0,70.0,64.0,71.0,53.0,58.0,72.0,71.0,55.0,76.0,73.0,85.0,75.0,93.0,94.0,129.0,96.0,117.0,145.0,171.0,219.0,259.0,304.0,306.0,274.0,250.0,214.0,181.0,135.0,109.0,114.0,105.0,75.0,90.0,71.0,112.0,45.0,61.0,55.0,59.0,27.0,29.0,11.0,10.0,0.0,1.0,1.0,8.0,20.0,88.0,77.0,72.0,112.0,145.0,133.0,144.0,132.0,106.0,91.0,72.0,84.0,53.0,56.0,48.0,48.0,56.0,70.0,94.0,57.0,55.0,49.0,49.0,53.0,30.0,74.0,70.0,64.0,71.0,53.0,58.0,72.0,71.0,55.0,76.0,73.0,85.0,75.0,93.0,94.0,129.0,96.0,117.0,145.0,171.0,219.0,259.0,304.0,306.0,274.0,250.0,214.0,181.0,135.0,109.0,114.0,105.0,75.0,90.0,71.0,112.0,45.0,61.0,55.0,59.0,27.0,29.0,11.0,10.0,0.0,1.0,1.0,8.0,20.0,88.0,77.0,72.0,112.0,145.0,133.0,144.0,132.0,106.0,91.0,72.0,84.0,53.0,56.0,48.0,48.0,56.0,70.0,94.0,57.0,55.0,49.0,49.0,53.0,30.0,74.0,70.0,64.0,71.0,53.0,58.0,72.0,71.0,55.0,76.0,73.0,85.0,75.0,93.0,94.0,129.0,96.0,117.0,145.0,171.0,219.0,259.0,304.0,306.0,274.0,250.0,214.0,181.0,135.0,109.0,114.0,105.0,75.0,90.0,71.0,112.0,45.0,61.0,55.0,59.0,27.0,29.0,11.0,10.0
0.0,2.0,1.0,10.0,46.0,140.0,184.0,266.0,378.0,369.0,371.0,449.0,384.0,368.0,298.0,382.0,327.0,310.0,322.0,284.0,290.0,297.0,273.0,258.0,290.0,308.0,302.0,273.0,271.0,275.0,261.0,282.0,321.0,318.0,305.0,292.0,281.0,293.0,337.0,330.0,323.0,321.0,379.0,331.0,355.0,331.0,340.0,363.0,363.0,396.0,452.0,505.0,477.0,432.0,371.0,295.0,267.0,207.0,166.0,166.0,125.0,123.0,98.0,86.0,132.0,95.0,83.0,118.0,66.0,71.0,74.0,55.0,23.0,4.0,0.0,2.0,1.0,10.0,46.0,140.0,184.0,266.0,378.0,369.0,371.0,449.0,384.0,368.0,298.0,382.0,327.0,310.0,322.0,284.0,290.0,297.0,273.0,258.0,290.0,308.0,302.0,273.0,271.0,275.0,261.0,282.0,321.0,318.0,305.0,292.0,281.0,293.0,337.0,330.0,323.0,321.0,379.0,331.0,355.0,331.0,340.0,363.0,363.0,396.0,452.0,505.0,477.0,432.0,371.0,295.0,267.0,207.0,166.0,166.0,125.0,123.0,98.0,86.0,132.0,95.0,83.0,118.0,66.0,71.0,74.0,55.0,23.0,4.0,0.0,2.0,1.0,10.0,46.0,140.0,184.0,266.0,378.0,369.0,371.0,449.0,384.0,368.0,298.0,382.0,327.0,310.0,322.0,284.0,290.0,297.0,273.0,258.0,290.0,308.0,302.0,273.0,271.0,275.0,261.0,282.0,321.0,318.0,305.0,292.0,281.0,293.0,337.0,330.0,323.0,321.0,379.0,331.0,355.0,331.0,340.0,363.0,363.0,396.0,452.0,505.0,477.0,432.0,371.0,295.0,267.0,207.0,166.0,166.0,125.0,123.0,98.0,86.0,132.0,95.0,83.0,118.0,66.0,71.0,74.0,55.0,23.0,4.0
0.0,0.0,2.0,3.0,20.0,114.0,175.0,369.0,625.0,672.0,610.0,539.0,397.0,326.0,214.0,181.0,152.0,154.0,120.0,107.0,135.0,121.0,103.0,115.0,125.0,120.0,91.0,141.0,112.0,106.0,106.0,154.0,131.0,134.0,151.0,156.0,161.0,125.0,126.0,125.0,160.0,169.0,147.0,166.0,204.0,202.0,177.0,192.0,250.0,303.0,358.0,407.0,481.0,460.0,405.0,358.0,285.0,233.0,190.0,127.0,144.0,129.0,144.0,127.0,107.0,101.0,125.0,99.0,91.0,122.0,40.0,52.0,37.0,5.0,0.0,0.0,2.0,3.0,20.0,114.0,175.0,369.0,625.0,672.0,610.0,539.0,397.0,326.0,214.0,181.0,152.0,154.0,120.0,107.0,135.0,121.0,103.0,115.0,125.0,120.0,91.0,141.0,112.0,106.0,106.0,154.0,131.0,134.0,151.0,156.0,161.0,125.0,126.0,125.0,160.0,169.0,147.0,166.0,204.0,202.0,177.0,192.0,250.0,303.0,358.0,407.0,481.0,460.0,405.0,358.0,285.0,233.0,190.0,127.0,144.0,129.0,144.0,127.0,107.0,101.0,125.0,99.0,91.0,122.0,40.0,52.0,37.0,5.0,0.0,0.0,2.0,3.0,20.0,114.0,175.0,369.0,625.0,672.0,610.0,539.0,397.0,326.0,214.0,181.0,152.0,154.0,120.0,107.0,135.0,121.0,103.0,115.0,125.0,120.0,91.0,141.0,112.0,106.0,106.0,154.0,131.0,134.0,151.0,156.0,161.0,125.0,126.0,125.0,160.0,169.0,147.0,166.0,204.0,202.0,177.0,192.0,250.0,303.0,358.0,407.0,481.0,460.0,405.0,358.0,285.0,233.0,190.0,127.0,144.0,129.0,144.0,127.0,107.0,101.0,125.0,99.0,91.0,122.0,40.0,52.0,37.0,5.0
0.0,1.0,0.0,2.0,15.0,62.0,109.0,198.0,379.0,445.0,514.0,507.0,449.0,338.0,248.0,188.0,148.0,157.0,133.0,103.0,105.0,110.0,124.0,91.0,123.0,120.0,128.0,111.0,140.0,112.0,125.0,122.0,118.0,122.0,109.0,114.0,139.0,127.0,154.0,155.0,138.0,151.0,114.0,139.0,169.0,165.0,181.0,194.0,195.0,301.0,375.0,374.0,402.0,346.0,318.0,254.0,195.0,165.0,146.0,118.0,130.0,95.0,95.0,80.0,107.0,101.0,70.0,74.0,92.0,62.0,34.0,38.0,17.0,2.0,0.0,1.0,0.0,2.0,15.0,62.0,109.0,198.0,379.0,445.0,514.0,507.0,449.0,338.0,248.0,188.0,148.0,157.0,133.0,103.0,105.0,110.0,124.0,91.0,123.0,120.0,128.0,111.0,140.0,112.0,125.0,122.0,118.0,122.0,109.0,114.0,139.0,127.0,154.0,155.0,138.0,151.0,114.0,139.0,169.0,165.0,181.0,194.0,195.0,301.0,375.0,374.0,402.0,346.0,318.0,254.0,195.0,165.0,146.0,118.0,130.0,95.0,95.0,80.0,107.0,101.0,70.0,74.0,92.0,62.0,34.0,38.0,17.0,2.0,0.0,1.0,0.0,2.0,15.0,62.0,109.0,198.0,379.0,445.0,514.0,507.0,449.0,338.0,248.0,188.0,148.0,157.0,133.0,103.0,105.0,110.0,124.0,91.0,123.0,120.0,128.0,111.0,140.0,112.0,125.0,122.0,118.0,122.0,109.0,114.0,139.0,127.0,154.0,155.0,138.0,151.0,114.0,139.0,169.0,165.0,181.0,194.0,195.0,301.0,375.0,374.0,402.0,346.0,318.0,254.0,195.0,165.0,146.0,118.0,130.0,95.0,95.0,80.0,107.0,101.0,70.0,74.0,92.0,62.0,34.0,38.0,17.0,2.0
0.0,2.0,1.0,7.0,44.0,111.0,123.0,201.0,262.0,364.0,597.0,739.0,649.0,600.0,453.0,340.0,262.0,198.0,169.0,178.0,177.0,200.0,172.0,149.0,165.0,151.0,155.0,170.0,147.0,158.0,145.0,174.0,185.0,196.0,164.0,183.0,194.0,172.0,177.0,186.0,183.0,172.0,179.0,207.0,230.0,222.0,228.0,232.0,236.0,281.0,325.0,355.0,378.0,364.0,320.0,241.0,233.0,204.0,182.0,161.0,131.0,125.0,117.0,142.0,102.0,89.0,120.0,96.0,85.0,78.0,63.0,39.0,17.0,1.0,0.0,2.0,1.0,7.0,44.0,111.0,123.0,201.0,262.0,364.0,597.0,739.0,649.0,600.0,453.0,340.0,262.0,198.0,169.0,178.0,177.0,200.0,172.0,149.0,165.0,151.0,155.0,170.0,147.0,158.0,145.0,174.0,185.0,196.0,164.0,183.0,194.0,172.0,177.0,186.0,183.0,172.0,179.0,207.0,230.0,222.0,228.0,232.0,236.0,281.0,325.0,355.0,378.0,364.0,320.0,241.0,233.0,204.0,182.0,161.0,131.0,125.0,117.0,142.0,102.0,89.0,120.0,96.0,85.0,78.0,63.0,39.0,17.0,1.0,0.0,2.0,1.0,7.0,44.0,111.0,123.0,201.0,262.0,364.0,597.0,739.0,649.0,600.0,453.0,340.0,262.0,198.0,169.0,178.0,177.0,200.0,172.0,149.0,165.0,151.0,155.0,170.0,147.0,158.0,145.0,174.0,185.0,196.0,164.0,183.0,194.0,172.0,177.0,186.0,183.0,172.0,179.0,207.0,230.0,222.0,228.0,232.0,236.0,281.0,325.0,355.0,378.0,364.0,320.0,241.0,233.0,204.0,182.0,161.0,131.0,125.0,117.0,142.0,102.0,89.0,120.0,96.0,85.0,78.0,63.0,39.0,17.0,1.0
0.0,0.0,0.0,0.0,22.0,64.0,163.0,202.0,275.0,428.0,437.0,357.0,272.0,287.0,177.0,163.0,110.0,114.0,74.0,76.0,82.0,98.0,68.0,73.0,86.0,85.0,100.0,102.0,95.0,91.0,74.0,122.0,89.0,105.0,112.0,103.0,86.0,133.0,93.0,114.0,117.0,137.0,109.0,116.0,155.0,170.0,167.0,162.0,183.0,234.0,273.0,266.0,302.0,224.0,254.0,179.0,160.0,131.0,143.0,120.0,128.0,76.0,134.0,80.0,65.0,80.0,104.0,65.0,61.0,91.0,38.0,21.0,24.0,1.0,0.0,0.0,0.0,0.0,22.0,64.0,163.0,202.0,275.0,428.0,437.0,357.0,272.0,287.0,177.0,163.0,110.0,114.0,74.0,76.0,82.0,98.0,68.0,73.0,86.0,85.0,100.0,102.0,95.0,91.0,74.0,122.0,89.0,105.0,112.0,103.0,86.0,133.0,93.0,114.0,117.0,137.0,109.0,116.0,155.0,170.0,167.0,162.0,183.0,234.0,273.0,266.0,302.0,224.0,254.0,179.0,160.0,131.0,143.0,120.0,128.0,76.0,134.0,80.0,65.0,80.0,104.0,65.0,61.0,91.0,38.0,21.0,24.0,1.0,0.0,0.0,0.0,0.0,22.0,64.0,163.0,202.0,275.0,428.0,437.0,357.0,272.0,287.0,177.0,163.0,110.0,114.0,74.0,76.0,82.0,98.0,68.0,73.0,86.0,85.0,100.0,102.0,95.0,91.0,74.0,122.0,89.0,105.0,112.0,103.0,86.0,133.0,93.0,114.0,117.0,137.0,109.0,116.0,155.0,170.0,167.0,162.0,183.0,234.0,273.0,266.0,302.0,224.0,254.0,179.0,160.0,131.0,143.0,120.0,128.0,76.0,134.0,80.0,65.0,80.0,104.0,65.0,61.0,91.0,38.0,21.0,24.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
