time,p_flow
1,18
2,55
3,60
4,100
5,205
6,284
7,306
8,447
9,659
10,894
11,1328
12,1770
13,1602
14,1508
15,1418
16,970
17,830
18,638
19,627
20,652
21,544
22,515
23,415
24,517
25,509
26,470
27,551
28,558
29,561
30,501
31,547
32,603
33,698
34,689
35,626
36,621
37,563
38,558
39,583
40,578
41,718
42,647
43,644
44,651
45,723
46,953
47,938
48,1055
49,1816
50,2232
51,2604
52,3037
53,2695
54,2772
55,2162
56,1566
57,1330
58,1159
59,967
60,814
61,812
62,834
63,767
64,650
65,575
66,462
67,421
68,343
69,299
70,104
71,21
72,1
73,20
74,42
75,124
76,109
77,169
78,217
79,305
80,475
81,666
82,821
83,1064
84,1478
85,1499
86,1987
87,1230
88,941
89,758
90,639
91,620
92,623
93,628
94,603
95,572
96,515
97,489
98,478
99,562
100,588
101,543
102,594
103,576
104,572
105,629
106,697
107,579
108,604
109,587
110,651
111,605
112,558
113,723
114,600
115,636
116,726
117,773
118,833
119,880
120,1101
121,1827
122,2075
123,2535
124,2902
125,2667
126,2917
127,2362
128,1569
129,1386
130,1110
131,964
132,778
133,841
134,776
135,736
136,655
137,677
138,590
139,446
140,356
141,320
142,105
143,20
144,3
145,16
146,25
147,113
148,98
149,166
150,193
151,237
152,441
153,681
154,873
155,1085
156,1459
157,1522
158,1874
159,1272
160,972
161,865
162,667
163,684
164,588
165,579
166,576
167,617
168,485
169,535
170,507
171,569
172,525
173,521
174,567
175,624
176,491
177,643
178,757
179,620
180,654
181,607
182,581
183,629
184,550
185,793
186,693
187,639
188,753
189,786
190,822
191,986
192,1185
193,1838
194,2180
195,2516
196,3020
197,2879
198,2915
199,1932
200,1616
201,1548
202,1078
203,956
204,791
205,861
206,798
207,736
208,610
209,670
210,624
211,566
212,382
213,399
214,123
215,14
216,2
217,6
218,35
219,95
220,71
221,159
222,180
223,263
224,386
225,685
226,930
227,1100
228,1469
229,1571
230,1727
231,1345
232,1008
233,798
234,711
235,654
236,617
237,672
238,567
239,587
240,513
241,537
242,515
243,572
244,558
245,536
246,663
247,620
248,540
249,704
250,631
251,620
252,599
253,633
254,671
255,590
256,600
257,774
258,701
259,657
260,626
261,690
262,825
263,954
264,1192
265,1899
